thrashold,time,id,eatable,poisonous
0.9,4757.100724220276,9851,1728,0
0.9,4757.100724220276,10618,768,0
0.9,4757.100724220276,11913,0,1296
0.9,4757.100724220276,14534,192,0
0.9,4757.100724220276,14343,704,0
0.9,4757.100724220276,13640,0,1728
0.9,4757.100724220276,15171,192,0
0.9,4757.100724220276,14789,0,256
0.9,4757.100724220276,15840,288,0
0.9,4757.100724220276,16198,0,36
0.9,4757.100724220276,14980,0,192
0.9,4757.100724220276,15887,48,0
0.9,4757.100724220276,16213,16,0
0.9,4757.100724220276,16085,32,72
0.9,4757.100724220276,15266,96,0
0.9,4757.100724220276,15553,0,288
0.9,4757.100724220276,16116,0,32
0.9,4757.100724220276,15982,96,0
0.9,4757.100724220276,16163,48,0
0.9,4757.100724220276,16220,0,8
0.9,4757.100724220276,16227,0,8
